ID,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Category,Date Submitted,View Status,Updated,Status,Resolution
35896,KRISHIVED Continuous Market,asham,swapnilm,normal,major,always,Bug,2021-10-23,public,2021-10-23,assigned,open
35820,KRISHIVED android,pradipk,dineshp,normal,minor,always,Bug,2021-10-21,public,2021-10-21,assigned,open
34912,KRISHIVED posttrade,MAHENDRA,neelams,normal,minor,have not tried,Bug,2021-09-27,public,2021-09-27,assigned,open
34524,KRISHIVED posttrade,asham,dhananjais,normal,major,always,Bug,2021-09-17,public,2021-09-17,assigned,open
34523,KRISHIVED posttrade,asham,dhananjais,normal,major,always,Bug,2021-09-17,public,2021-09-17,assigned,open
34522,KRISHIVED posttrade,asham,dhananjais,normal,major,always,Bug,2021-09-17,public,2021-09-17,assigned,open
34521,KRISHIVED posttrade,asham,dhananjais,normal,minor,always,Bug,2021-09-17,public,2021-09-17,assigned,open
34519,KRISHIVED posttrade,asham,surajk,normal,major,always,Bug,2021-09-17,public,2021-09-17,assigned,open
34393,KRISHIVED posttrade,poonamc,dhananjais,normal,major,have not tried,Bug,2021-09-15,public,2021-09-15,assigned,open
34391,KRISHIVED posttrade,poonamc,dhananjais,normal,minor,always,Bug,2021-09-15,public,2021-09-15,assigned,open
34133,KRISHIVED posttrade,raginim,ashwinir,high,major,always,Bug,2021-09-06,public,2021-09-07,assigned,open
34132,KRISHIVED android,raginim,abolijadhav,high,major,always,Bug,2021-09-06,public,2021-09-06,assigned,open
34131,KRISHIVED android,raginim,abolijadhav,high,major,always,Bug,2021-09-06,public,2021-09-06,assigned,open
34130,KRISHIVED android,raginim,abolijadhav,high,major,always,Bug,2021-09-06,public,2021-09-06,assigned,open
33887,KRISHIVED android,raginim,abolijadhav,high,major,always,Bug,2021-09-01,public,2021-09-01,assigned,open
29806,KRISHIVED posttrade,MAHENDRA,neelams,normal,minor,have not tried,Bug,2021-05-18,public,2021-05-18,assigned,open
29164,KRISHIVED posttrade,MAHENDRA,sanjeebm,normal,minor,have not tried,Bug,2021-05-04,public,2021-05-04,assigned,open
28699,KRISHIVED spotlite java,MAHENDRA,sumitp,normal,minor,have not tried,Bug,2021-04-22,public,2021-04-22,assigned,open
28698,KRISHIVED spotlite java,MAHENDRA,sumitp,normal,minor,have not tried,Bug,2021-04-22,public,2021-04-22,assigned,open
27795,KRISHIVED Auction Android,MAHENDRA,ashwinir,high,minor,always,Bug,2021-03-24,public,2021-03-24,assigned,open
27593,KRISHIVED Auction Android,MAHENDRA,vikramm,normal,minor,have not tried,Bug,2021-03-15,public,2021-03-15,assigned,open
27451,KRISHIVED Auction Android,MAHENDRA,vikramm,normal,minor,have not tried,Bug,2021-03-09,public,2021-03-09,assigned,open
26968,KRISHIVED Bilateral,MAHENDRA,tradingdev,normal,minor,have not tried,Bug,2021-02-24,public,2021-02-24,assigned,open
26914,KRISHIVED Auction Android,MAHENDRA,shatrudhank,normal,minor,have not tried,Bug,2021-02-23,public,2021-02-23,assigned,open
26897,KRISHIVED Auction Android,MAHENDRA,tejast,normal,minor,have not tried,Bug,2021-02-23,public,2021-02-23,assigned,open
26893,KRISHIVED Auction Android,MAHENDRA,tejast,normal,minor,have not tried,Bug,2021-02-23,public,2021-02-23,assigned,open
26775,KRISHIVED Auction Android,MAHENDRA,chaitanyak,normal,minor,have not tried,Bug,2021-02-19,public,2021-02-19,assigned,open
26690,KRISHIVED Auction Android,MAHENDRA,tejast,normal,minor,have not tried,Bug,2021-02-18,public,2021-02-18,assigned,open
26689,KRISHIVED Auction Android,MAHENDRA,mayuriw,normal,minor,have not tried,Bug,2021-02-18,public,2021-02-18,assigned,open
26678,KRISHIVED Auction Android,MAHENDRA,ashwinik,high,minor,have not tried,Bug,2021-02-18,public,2021-02-18,assigned,open
26662,KRISHIVED Auction Android,MAHENDRA,ashwinik,normal,minor,have not tried,Bug,2021-02-18,public,2021-02-18,assigned,open
26578,KRISHIVED Bilateral,MAHENDRA,ashwinik,normal,minor,have not tried,Bug,2021-02-16,public,2021-02-16,assigned,open
12383,KRISHIVED Auction Web,ganeshd,arushib,normal,minor,always,Bug,2020-02-20,public,2020-02-20,assigned,open
33889,KRISHIVED android,raginim,abolijadhav,high,major,always,Bug,2021-09-01,public,2021-09-06,resolved,open
39494,KRISHIVED PFM,vaishnaviak,,normal,major,always,Bug,2022-02-18,public,2022-06-24,closed,open
43104,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-06-01,public,2022-06-24,closed,open
43088,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-06-01,public,2022-06-24,closed,open
43083,KRISHIVED-PRIVATE MARKET,shivdasc,ratikas,normal,minor,have not tried,Bug,2022-06-01,public,2022-06-24,closed,open
43072,KRISHIVED-PRIVATE MARKET,shivdasc,ratikas,normal,minor,have not tried,Bug,2022-06-01,public,2022-06-24,closed,open
38685,KRISHIVED PFM,saurabhr,,normal,major,have not tried,Bug,2022-01-22,public,2022-06-23,closed,open
38684,KRISHIVED PFM,saurabhr,,normal,minor,have not tried,Bug,2022-01-22,public,2022-06-23,closed,open
38644,KRISHIVED PFM,saurabhr,,normal,major,have not tried,Bug,2022-01-21,public,2022-06-23,closed,open
42814,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-05-25,public,2022-06-22,closed,open
42813,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-05-25,public,2022-06-22,closed,open
42183,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-05-02,public,2022-06-22,closed,open
43769,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-06-14,public,2022-06-21,closed,open
42904,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,Bug,2022-05-27,public,2022-06-14,closed,open
40614,KRISHIVED android,shivdasc,,normal,minor,have not tried,Bug,2022-03-22,public,2022-03-23,closed,open
40507,KRISHIVED android,yasht,bhavyakumart,normal,major,random,Bug,2022-03-19,public,2022-03-22,closed,open
39471,KRISHIVED android,yasht,,normal,major,always,Bug,2022-02-18,public,2022-03-07,closed,open
35900,KRISHIVED PFM,asham,ashwinir,normal,major,always,Bug,2021-10-23,public,2021-11-11,closed,open
11456,KRISHIVED Auction Web,manishaj,arushib,high,major,always,Bug,2020-02-03,public,2020-03-20,closed,open
12152,KRISHIVED Auction Web,bhagyshrik,arushib,high,major,always,Bug,2020-02-13,public,2020-03-16,closed,open
11151,KRISHIVED Auction Web,raginim,arushib,high,major,always,Bug,2020-01-28,public,2020-02-11,closed,open
39475,KRISHIVED PFM,balajik,shradha,normal,major,always,Bug,2022-02-18,public,2022-06-17,deployed_in_uat,open
42039,KRISHIVED posttrade,sayleel,chetans,high,major,always,Bug,2022-04-27,public,2022-06-02,deployed_in_uat,open
39575,KRISHIVED PFM,pragatia,,normal,minor,always,Bug,2022-02-22,public,2022-04-08,deployed_in_uat,open
39440,KRISHIVED PFM,yasht,shradha,normal,minor,random,Bug,2022-02-17,public,2022-02-18,deployed_in_uat,open
39477,KRISHIVED PFM,balajik,shradha,normal,major,always,Bug,2022-02-18,public,2022-02-18,deployed_in_uat,open
39484,KRISHIVED PFM,pragatia,shradha,normal,minor,always,Bug,2022-02-18,public,2022-02-18,deployed_in_uat,open
39467,KRISHIVED PFM,pragatia,saurabhd,normal,minor,always,Bug,2022-02-18,public,2022-02-18,deployed_in_uat,open
39489,KRISHIVED PFM,pragatia,shradha,normal,minor,always,Bug,2022-02-18,public,2022-02-18,deployed_in_uat,open
39452,KRISHIVED PFM,pragatia,shradha,normal,minor,always,Bug,2022-02-17,public,2022-02-18,deployed_in_uat,open
39492,KRISHIVED PFM,balajik,shradha,normal,minor,always,Bug,2022-02-18,public,2022-02-18,deployed_in_uat,open
39352,KRISHIVED PFM,pragatia,,normal,minor,always,Bug,2022-02-14,public,2022-02-18,deployed_in_uat,open
39387,KRISHIVED PFM,yasht,shradha,high,major,always,Bug,2022-02-15,public,2022-02-16,deployed_in_uat,open
39400,KRISHIVED PFM,pragatia,saurabhd,normal,minor,always,Bug,2022-02-16,public,2022-02-16,deployed_in_uat,open
39381,KRISHIVED PFM,pragatia,,normal,minor,always,Bug,2022-02-15,public,2022-02-16,deployed_in_uat,open
