Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version,,
43452,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Observation,2022-06-08,,,,public,2022-06-08,user unable to open trade book screen. user id : kisan6,new,open,,,
43373,KRISHIVED posttrade,shivdasc,,normal,minor,have not tried,,Observation,2022-06-07,,,,public,2022-06-07,verification details ( Vehicle number ) is not getting display in Do print in exgodown template. obligation no : 132122060704022,new,open,,,
43349,KRISHIVED posttrade,shivdasc,,normal,minor,have not tried,,Observation,2022-06-07,,,,public,2022-06-07,in Dispatch note print verification details and lifting records alignment get disturb.,new,open,,,
43283,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-06-06,,,,public,2022-06-06,4 step : buyer initiated : while allocation user has enter 7 qty but still getting error popup as qty cannot be zero .. Enquiry,new,open,,,
43120,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Observation,2022-06-01,,,,public,2022-06-01,observation : if member perform default after buyer pay in then settlement value is displayed zero,new,open,,,
43030,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Observation,2022-05-31,,,,public,2022-05-31,"After update of GST number from registration, but the same is updated in JAVA buyer process",new,open,,,
42997,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-05-31,,,,public,2022-05-31,if user manually expiry his bid then getting error popup as Enquiry cancelled successfully. error should be correct,new,open,,,
42986,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Observation,2022-05-30,,,,public,2022-05-30,When buyer reject allocation the rejection public notification should display in red,new,open,,,
42985,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Observation,2022-05-30,,,,public,2022-05-30,observation : if user refresh on view bid screen then it gets redirected to my offer for sell page,new,open,,,
42984,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-05-30,,,,public,2022-05-30,Observation : for margin to be update need to refresh web page,new,open,,,
42983,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-05-30,,,,public,2022-05-30,2 step : bid goes in open status. if seller has not sufficient margin but after deposit still trade is not getting generated.,new,open,,,
42982,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-05-30,,,,public,2022-05-30,Negotiation : offer is shown expired in my offer for sell but open in order book,new,open,,,
42981,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-05-30,,,,public,2022-05-30,seller the margin is not get released for buyer 1 and buyer 3 for allocation,new,open,,,
42824,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Observation,2022-05-25,,,,public,2022-05-30,Offer creation : Description should mention video file format and size for same.,closed,open,,,
42905,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-05-27,,,,public,2022-05-27,My offers for sell : Negotiation match : on view bids popup comes as no bid found and screen is displayed blank need to refresh.,new,open,,,
42833,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Observation,2022-05-25,,,,public,2022-05-25,Add Parameter : if we delete wh address parameter then variety1 and foreign matter parameter value also gets blank,new,open,,,
42828,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-05-25,,,,public,2022-05-25,Add parameter : as succes popup is not getting clear if user manually close that popup then blank space left there which is not,new,open,,,
42827,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Observation,2022-05-25,,,,public,2022-05-25,"Observation : ""Offer send to exchange order no"" popup there should be space between exchangeorder and no124523532.",new,open,,,
42826,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Observation,2022-05-25,,,,public,2022-05-25,Offer Creation : Preview of video should also display just like preview displayed for images.,new,open,,,
42825,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-05-25,,,,public,2022-05-25,Offer Creation : if user upload first video less than 5 mb and then for second video of more than 5 mb then first video gets rem,new,open,,,
42786,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-05-24,,,,public,2022-05-24,3 step : bid is expired still status is showing OPEN and margin also not released as seller didn't allocated,new,open,,,
42777,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-05-24,,,,public,2022-05-24,bidder allocation is done successfully and status is displayed as TRDPND and seller margin is also not blocked.,new,open,,,
