#,Tracker,Status,Priority,Subject,Assignee,Updated,% Done
95,Feature,New,High,To allow auction and bid price to be accepted less than Rs 1 in reverse auctions,,19/05/2022 15:31,0
94,Feature,New,High,Yankee reverse: To hide auction quantity during bidding,,19/05/2022 15:30,0
