# ----------------------------------------
# Report CSV Export
# ----------------------------------------
# How are active users trending?
# Start date: 20220602
# End date: 20220629
Day,30 days,7 days,1 day
DoGenerationActivity,562
EditUploadedImageActivity,453
MyCommissionsFilterActivity,495
ObligationDetailsForDispatchNemlDirectActivity,338
BuyerVehicleUpdateActivity,156
TransactionsActivity,408
QuotationActivity,329
ChangeThemeActivity,82
MappedArrivalsActivityKotline,28
QuoteListOnEnquiryActivity,321
CmidWiseObligationListActivity,267
ShowOfferParametersAndImageActivity,46
MyTradesActivity,207
FundLedgerActivity,190
FilterActivity,244
ImageCaptionActivity,211
DispatchConfirmationOrderActivity,149
SettlementLedgerActivity,158
PublicWatchActivity,161
ImageFullScreenActivity,175
LoadedLedgerDetailsActivity,149
PublicWatchMainActivity,72
BuyerReviewActivity,61
TransactionFilterActivity,156
TwoStepAuthActivity,65
NotificationActivity,80
SellerUpdateActivity,102
AboutUsActivity,123
BuyerConfirmationActivity,21
EnableMpinLoginActivity,15
BuyerUpdateActivity,54
ChangePasswordActivity,11
SellerSummaryActivity,19
ThemeActivity,0
ActivityAboutUs,21
SellerConfirmationActivity,16
TradeReportActivity,25
CommodityChatInfoActivity,39
ForgotPasswordDialogActivity,23
MyCommissionActivityTesting,46
OtpBasedLogin,18
SpotCommodityPriceActivity,34
ViewSpotCommodityPricingActivity,33
SetMpinDialogActivity,5
PublicWatchFilterActivity,34
BiometricAuthActivity,15
AppSettingsDialogHolderActivity,0
BankDetailsActivity,18
TransactionActivity,0
DoGenerationNemlDirectActivity,13
MappedArrivalsActivity,0
FundDepositWebView,8
CmidWiseObligationFilterActivity,6
ObligationDetailsForDoGenerationBuyerConfActivity,9
SpotPricingFilterDialogActivity,6
ChangeOrResetMpin,2
CreateNewPasswordActivity,0
MyCatalogActivity,3
CartActivity,2
MyTransactions,0
OtpLoginActivity,0
CatalogFavouriteActivity,1
MpinLoginActivity,0
MyTransactionActivity,0
TradeFilterActivity,1

#  
# Start date: 20220602
# End date: 20220629
Event name,Event count
screen_view,41671
user_engagement,11204
session_start,1510
first_open,517
app_remove,484
app_clear_data,68
app_update,23
event_demo,0
app_exception,8
select_content,0
apply_setting_button_clicked,1
login_button_clicked,1
Back_to_More_settings,7
login_button,0
os_update,1

# What are your top conversions?
# Start date: 20220602
# End date: 20220629
Event name,Conversions
first_open,517

#  
# Start date: 20220602
# End date: 20220629
Day,Total revenue


# Start date: 20220602
# End date: 20220629
Day,Ecommerce revenue


# Start date: 20220602
# End date: 20220629
Day,Total ad revenue


#  
# Start date: 20220602
# End date: 20220629
Day,Average purchase revenue per user


# What is your revenue per Ad unit?
# Start date: 20220602
# End date: 20220629
Ad unit,Publisher ad impressions


#  
# Start date: 20220602
# End date: 20220629
Country ID,Users,Users (Previous)
IN,546,282
SG,1,0

# Start date: 20220602
# End date: 20220629
Country,Users
India,546
Singapore,1

#  
# Start date: 20220602
# End date: 20220629
Device model,Users
M2003J15SC,144
V2109,77
CPH1859,110
SM-M215F,30
KF6p,26
SM-M325F,21
DN2101,10
SM-E625F,20
RMX3242,11
RMX3241,10
Redmi Note 5 Pro,9
EB2101,11
Redmi Note 8 Pro,7
Redmi 5A,10
Redmi Note 7,5
A5010,4
G,4
M2004J19PI,5
RMX2170,3
Redmi 5,2
Pixel 4a,3
CPH1933,2
CPH1937,1
RMX2001,1
1723,1
LE2101,1
M2010J19CI,1
RMX1971,1
RMX3081,0
RMX3430,0
Redmi Note 7 Pro,1
SM-A505F,1
SM-M315F,0
X00TD,0
