ID,Tracker,Status,Priority,Subject,Assignee,Updated,% Done
79,Deployed UAT,Closed,Normal,Build Release Admin Ver No. 1.0.0.05,Shreya Talwekar,17/06/2022 20:25,100
78,Deployed UAT,Closed,Normal,Build Release Website Ver No. 1.0.0.05,Shreya Talwekar,17/06/2022 20:24,100
77,Change Request,Resolved,Normal,price and qty validation in commodity dashboard details,Yasharth Kumar Singh,14/05/2022 19:47,100
76,Change Request,Closed,Normal,"emd, quantity and margin validation change",Pratik Sarin,17/05/2022 19:40,100
75,Change Request,Closed,Normal,Auction Date display change,Pratidnya Thakare,14/05/2022 21:06,100
74,Change Request,Closed,Normal,circular categorization,Shreya Talwekar,14/05/2022 21:08,100
73,Change Request,Closed,Normal,Circular display sequence change,Shreya Talwekar,14/05/2022 21:08,100
72,Change Request,Closed,Normal,"Margin, emd, quantity data type change",Shreya Talwekar,14/05/2022 21:07,100
71,Change Request,Closed,Normal,Event field change to non mandatory,Pratidnya Thakare,14/05/2022 21:06,100
70,Change Request,Closed,Normal,Circular rejection reason display,Pratidnya Thakare,17/05/2022 19:51,100
69,Deployed UAT,Closed,Normal,Build Release Website Ver No. 1.0.0.04,Shreya Talwekar,17/06/2022 20:24,100
68,Deployed UAT,Closed,Normal,Build Release Admin Ver No. 1.0.0.04,Shreya Talwekar,17/06/2022 20:23,100
67,Bug,Resolved,Normal,Our Differentiators data alignment,Ajinkya  Ambre,17/05/2022 16:21,100
66,Bug,Resolved,Normal,Why People Choose Us,Ajinkya  Ambre,17/05/2022 19:44,100
65,Bug,Resolved,Normal,Executive Council Data Change,Ajinkya  Ambre,17/05/2022 19:44,100
64,Feature,Closed,Normal,Validation in Job Listing Form,Yasharth Kumar Singh,14/05/2022 21:13,100
63,Bug,Closed,Normal,Circular is not getting uploaded,Shreya Talwekar,12/05/22 07:38 PM,100
62,Deployed UAT,Closed,Normal,Build Release Admin Ver No. 1.0.0.03,Shreya Talwekar,17/06/2022 15:51,100
61,Deployed UAT,Closed,Normal,Build Release website Ver No. 1.0.0.03,Shreya Talwekar,17/06/2022 15:51,100
60,Feature,Resolved,Normal,Connect with us form validations,Ajinkya  Ambre,17/05/2022 16:21,100
59,Feature,Resolved,Normal,Why Choose Us,Ajinkya  Ambre,17/05/2022 19:44,100
58,Feature,Closed,Normal,Event Filter functionality,Pawan Ukey,14/05/2022 21:10,100
57,Feature,Closed,Normal,View Event Screen,Shreya Talwekar,12/05/22 07:46 PM,100
