Date,TimeStamp,Location,,Time,Issue_No,Issue,,,,,,,,,,,,,,,,,,,,,,,
2022-06-27,00:10:20.406,main,INFO,00:10:20,406,AbstractUrlHandlerMapping.java:373,registerHandler,Mapped,URL,path,,/webjars/**,,onto,handler,of,type,,class,org.springframework.web.servlet.resource.ResourceHttpRequestHandler,,,,,,,,,
2022-06-27,00:10:20.407,main,INFO,00:10:20,407,AbstractUrlHandlerMapping.java:373,registerHandler,Mapped,URL,path,,/**,,onto,handler,of,type,,class,org.springframework.web.servlet.resource.ResourceHttpRequestHandler,,,,,,,,,
2022-06-27,00:10:20.929,main,INFO,00:10:20,929,MBeanExporter.java:433,afterSingletonsInstantiated,Registering,beans,for,JMX,exposure,on,startup,,,,,,,,,,,,,,,
2022-06-27,00:10:20.975,main,INFO,00:10:20,975,DirectJDKLog.java:180,log,Starting,ProtocolHandler,,http-nio-40316,,,,,,,,,,,,,,,,,,
2022-06-27,00:10:21.000,main,INFO,00:10:21,0,DirectJDKLog.java:180,log,Using,a,shared,selector,for,servlet,write/read,,,,,,,,,,,,,,,
2022-06-27,00:10:21.121,main,INFO,00:10:21,121,TomcatWebServer.java:206,start,Tomcat,started,on,port(s):,40316,(http),with,context,path,'',,,,,,,,,,,,
2022-06-27,00:10:21.135,main,INFO,00:10:21,135,StartupInfoLogger.java:59,logStarted,Started,WithdrawalUploadApiApplication,in,15.247,seconds,(JVM,running,for,19.422),,,,,,,,,,,,,
2022-06-27,00:10:21.143,main,INFO,00:10:21,143,WithdrawalUploadApiApplication.java:32,main,Initializing,LoadDB,,,,,,,,,,,,,,,,,,,,
2022-06-27,00:10:21.167,main,INFO,00:10:21,167,AbstractApplicationContext.java:590,prepareRefresh,Refreshing,org.springframework.context.annotation.AnnotationConfigApplicationContext@158da8e:,startup,date,,Mon,Jun,27,00:10:21,IST,2022,,,root,of,context,hierarchy,,,,,
2022-06-27,00:10:21.293,main,INFO,00:10:21,293,NemlDBUtil.java:33,loadDB,Inside,loadDB,in,NemlDBUtil,class,,,,,,,,,,,,,,,,,
2022-06-27,00:10:21.293,main,INFO,00:10:21,293,NemlDBUtil.java:55,loadConfigConstants,Inside,loadConfigConstants,in,NemlDBUtil,class,,,,,,,,,,,,,,,,,
2022-06-27,00:10:21.318,main,WARN,00:10:21,318,HikariConfig.java:1092,validateNumerics,helper-sql-0,-,leakDetectionThreshold,is,less,than,2000ms,or,more,than,maxLifetime,,disabling,it.,,,,,,,,
2022-06-27,00:10:21.318,main,INFO,00:10:21,318,HikariDataSource.java:110,getConnection,helper-sql-0,-,Starting...,,,,,,,,,,,,,,,,,,,
2022-06-27,00:10:21.615,main,INFO,00:10:21,615,HikariDataSource.java:123,getConnection,helper-sql-0,-,Start,completed.,,,,,,,,,,,,,,,,,,
2022-06-27,00:10:21.620,main,INFO,00:10:21,620,WithdrawalProcessingInitiateDaoImpl.java:179,loadDataFromDBNewSeason,Inside,loadDataFromDBNewSeason,in,WithdrawalProcessingInitiateDaoImpl,,,,,,,,,,,,,,,,,,
2022-06-27,00:10:21.684,main,INFO,00:10:21,684,QueryMaster.java:235,select,DBUser:,nafedims,,,,select,*,from,,withdrawal_processing_transform,where,sync_status,is,null,,,with,values,::,QueryStartTime,1656268821684,
2022-06-27,00:10:21.691,main,INFO,00:10:21,691,QueryMaster.java:243,select,DBUser:,nafedims,,,,select,*,from,,withdrawal_processing_transform,where,sync_status,is,null,,,with,values,::,QueryEndTime,1656268821691,
2022-06-27,00:10:21.691,main,INFO,00:10:21,691,WithdrawalProcessingInitiateDaoImpl.java:238,loadDataFromDBNewSeason,Exit,from,loadDataFromDBNewSeason(),in,WithdrawalProcessingInitiateDaoImpl,,,,,,,,,,,,,,,,,
2022-06-27,00:10:21.691,main,INFO,00:10:21,691,WithdrawalProcessingInitiate.java:96,initiateProcessNewSeasonData,List,size,for,processing:,0,,,,,,,,,,,,,,,,,
2022-06-27,00:10:21.691,main,INFO,00:10:21,691,WithdrawalProcessingInitiate.java:118,initiateProcessNewSeasonData,List,size,for,processing:,0,,,,,,,,,,,,,,,,,
2022-06-27,00:10:21.691,main,INFO,00:10:21,691,WithdrawalProcessingInitiate.java:119,initiateProcessNewSeasonData,Processed,from,List:,0,,,,,,,,,,,,,,,,,,
